model,avg_return,avg_cagr,avg_max_dd,avg_sharpe,avg_sortino,trade_wt_win_rate,trade_wt_profit_factor,total_trades
baseline,-1.4647033335948914,-1.4870110648927222,-16.163373020631628,-0.3023803933442774,-0.07633128200411032,40.310077519379846,1.0495903082788312,387
confirmed,0.4483413995560228,0.6059289770439733,-11.632871581999092,-0.19089592867207933,0.11631988420347295,41.63090128755365,1.258417633365899,233
