ticker,return,cagr,bah_return,max_dd,trades,win_rate,profit_factor,sharpe,sortino,expectancy,best_trade,worst_trade,exposure_pct
AAPL,-0.4137659764822092,-0.13866252335119622,55.85748148161949,-12.93609977400597,31,41.935483870967744,1.0347951193099634,-0.01223716363139038,-0.017963896761395284,0.06540155104611413,5.617100787018459,-5.649948791512217,35.45816733067729
MSFT,12.117338467257815,3.9019168310068464,32.21471363850629,-20.97808338526318,25,44.0,1.3170469401652032,0.3026391677437169,0.4608137401580132,0.5678627379575489,11.35892109809247,-4.285229253738341,37.31739707835325
GOOGL,7.293967545629602,2.3840660516504464,185.24349746155028,-20.96753982265328,42,45.23809523809524,1.1431029689819043,0.1347273867601253,0.19377611654142504,0.26568947052815167,7.491506591383483,-8.380766120892794,40.77025232403719
AMZN,-24.116108780695996,-8.821865906258164,104.23297656484903,-28.201960119581273,36,33.33333333333333,0.6841547985309157,-0.6212838620691479,-0.7884042246256854,-0.6955996291571414,7.6105078037927365,-6.675916938524902,35.45816733067729
NVDA,-2.9706279085103233,-1.004144248143557,534.0670412380038,-32.73361826666393,66,42.42424242424242,1.0149123965331468,-0.054843496469561846,-0.07721060001958724,0.026377257664732014,9.252787883072337,-5.516640136423271,27.75564409030544
META,-0.14727760863515868,-0.04931229235708434,171.62734917407965,-19.544124323332788,46,41.30434782608695,1.0454465726260145,-0.003157092338931592,-0.004873139844599217,0.08309994890764505,9.084128199770182,-5.37012608208796,37.18459495351926
TSLA,-15.150042229074243,-5.349599051336629,84.60234117467054,-28.54258372105053,55,41.81818181818181,0.8788143979070516,-0.32563166197116206,-0.4288366815623246,-0.23170103627370892,6.605152896064176,-7.507870802482647,17.928286852589643
JPM,50.90016933972571,14.762644210690912,142.8035946438553,-10.523726872202266,38,55.26315789473685,1.8049585366130136,0.9281818393857071,1.5745042892481165,1.17944025851443,5.960332291922913,-4.064437568479751,52.722443559096945
BAC,43.08765180637398,12.738961115545777,86.38141157252178,-9.690766339378666,36,52.77777777777778,1.7237766892321293,0.7753752462025608,1.3873738285973787,1.008428768275437,6.617541866726097,-4.528526895601986,45.28552456839309
WMT,64.16744229593824,18.045177556667504,162.08892115028502,-16.34209670680037,35,57.14285714285714,2.1431033062480167,1.2010155350738347,2.292822750192277,1.4740161994777508,6.449762018004162,-3.996976288835848,45.68393094289508
UNH,-44.294679847377864,-17.783035768157042,-40.701245304976794,-47.7262370588692,28,35.714285714285715,0.45907610630297013,-1.1629720678987923,-1.0584585517669227,-1.9379680408852609,8.394304940387483,-17.222808415702783,29.61487383798141
PFE,-9.851923893234234,-3.411445028893001,-17.846867654505534,-20.920762115663937,25,36.0,0.8188803324287547,-0.3054717507717007,-0.40348352018910877,-0.35489165427970654,5.194786381134434,-3.814888313947762,21.646746347941566
XOM,24.42343229606244,7.587072738092848,53.59377031643562,-22.455181948489777,38,47.368421052631575,1.4120717834770333,0.5582234184580848,0.876980954301629,0.656577934685062,6.1119749922939555,-5.197223042331293,36.65338645418327
CVX,-11.109395907652997,-3.8644462915194855,32.65114560809116,-31.406939313676563,35,37.142857142857146,0.8839172972040623,-0.29161333274856793,-0.383804714009257,-0.24679878200133606,8.536486631323156,-5.196909096271614,44.754316069057104
LMT,11.875957456577508,3.8270014910337657,38.9117699322832,-17.970315564554575,22,50.0,1.3428033346208965,0.35577432996029085,0.497406084193593,0.5933202256898231,6.90753547876234,-4.789391177244625,31.208499335989377
RTX,15.810914502235482,5.035109135707416,108.18828824334663,-20.700501319411636,31,48.38709677419355,1.3092845064690712,0.3387898581074081,0.5555751611136698,0.5652833280337138,7.976708219933242,-6.189965144097704,49.800796812749006
BA,28.536342286817707,8.764399855703031,-3.570269029758783,-16.688679916284133,31,51.61290322580645,1.5791672409373965,0.668169469975245,1.201922418795502,0.9018598651803935,7.05297060933236,-4.266711670458747,21.115537848605577
GS,76.49481268278109,20.940468641697606,184.33357363523058,-10.154289048234288,42,54.761904761904766,2.101483019065805,1.1285905325448895,2.2199818258319644,1.4763065872260903,6.80931755975191,-3.9214145038028385,50.199203187250994
V,-4.964685845459135,-1.689711844214603,34.61143853327473,-28.33765322427452,27,40.74074074074074,0.9383751817642518,-0.15230610274549183,-0.20684065954847458,-0.1248758112114756,5.6778768837029325,-5.287930065265156,42.89508632138114
AMD,-0.34366504868152337,-0.1151431510227896,124.66694879203357,-25.750813434928233,51,41.17647058823529,1.0331777901782575,-0.008339916634662868,-0.012714576107251189,0.05086977263215876,6.486904427333534,-5.920946521980948,16.334661354581673
INTC,-11.53487069170762,-4.018687490423034,55.5844185783699,-22.905529734827912,56,39.285714285714285,0.9170753671091851,-0.24159809556683115,-0.30395362947414084,-0.1419864288145377,6.61576871038734,-13.762090676595415,21.248339973439574
DIS,4.456251180645231,1.4697578138886058,-0.8769930976373124,-13.498729523540886,26,34.61538461538461,1.1532096083107437,0.13856693158697683,0.226874875438061,0.24515504086761253,10.707639959545762,-3.3021112298009916,24.03718459495352
NFLX,-8.616733476634709,-2.970545575004191,180.7654937030878,-21.497972174946188,37,40.54054054054054,0.9207658584277083,-0.20583209157835294,-0.25687207796813044,-0.15959971172834103,6.378080141820844,-8.250846878996331,33.99734395750332
CRM,11.41645520318707,3.6840919886038437,-4.180808838706219,-28.994160384758704,31,45.16129032258064,1.2513511347504738,0.2431138594610561,0.37883666089617885,0.45194937701850435,10.771460913568738,-5.192272186408475,26.162018592297475
