model,avg_return,avg_cagr,avg_max_dd,avg_sharpe,avg_sortino,trade_wt_win_rate,trade_wt_profit_factor,total_trades
numeric_only,0.20183350081720974,0.329976794309737,-11.690364800745419,-0.2096721980539649,0.08730637628681319,41.63090128755365,1.2446284342948992,233
pattern_overlay,0.49741430507740475,0.6546071981383548,-11.550083151363706,-0.15895706213197022,0.12670425584667785,42.241379310344826,1.2593657477705564,232
